Model,IoU,F1,BIoU,BF1,Precision,Recall
FCN,0.9857,0.9928,0.6502,0.7789,0.9919,0.9936
PSPNet,0.9870,0.9935,0.7639,0.8589,0.9941,0.9929
DeepLabV3+,0.9875,0.9937,0.7799,0.8700,0.9938,0.9936
UPerNet,0.9879,0.9939,0.7863,0.8738,0.9948,0.9931
SegFormer,0.9885,0.9942,0.7763,0.8683,0.9958,0.9927
Mask2Former,0.9881,0.9940,0.7740,0.8661,0.9955,0.9925
PIDNet,0.9835,0.9917,0.6334,0.7656,0.9912,0.9922
AURASeg (Ours),0.9897,0.9948,0.8124,0.8905,0.9959,0.9937
