filename,upernet_precision,upernet_recall,upernet_f1,auraseg_precision,auraseg_recall,auraseg_f1
1724555962.png,1.0,1.0,1.0,1.0,1.0,1.0
1724556110.png,1.0,0.8986318407960199,0.9466098919095971,1.0,0.9067164179104478,0.9510763209393346
1724556127.png,1.0,0.9613297150610584,0.9802836388792805,1.0,0.9979647218453188,0.9989813242784381
1724556161.png,1.0,1.0,1.0,1.0,1.0,1.0
1724556178.png,1.0,1.0,1.0,1.0,1.0,1.0
1724556278.png,1.0,1.0,1.0,1.0,1.0,1.0
1724556295.png,1.0,1.0,1.0,1.0,1.0,1.0
1724556500.png,0.9518828451882845,0.9772079772079773,0.9643791768497091,0.9352791878172588,0.9779202279202279,0.9561245200012094
1724556586.png,1.0,1.0,1.0,1.0,1.0,1.0
1724556651.png,1.0,1.0,1.0,1.0,1.0,1.0
1724556700.png,1.0,1.0,1.0,1.0,1.0,1.0
1724556733.png,0.9310077519379845,0.9291217257318952,0.9300637826932054,1.0,1.0,1.0
1724556767.png,0.999219968798752,0.9992236024844721,0.9992217856383085,1.0,1.0,1.0
1724556784.png,0.98046875,0.98046875,0.98046875,1.0,1.0,1.0
1724556866.png,1.0,0.9977711738484398,0.9988843436221644,1.0,1.0,1.0
1724556964.png,1.0,1.0,1.0,1.0,1.0,1.0
1724557096.png,0.9973226238286479,0.9754098360655737,0.9862445281255736,1.0,1.0,1.0
1724557229.png,0.9697749196141479,0.9230317273795534,0.9458261578302596,1.0,0.9905992949471211,0.9952774498229044
1724557262.png,1.0,1.0,1.0,1.0,1.0,1.0
1724557294.png,1.0,1.0,1.0,1.0,1.0,1.0
1724560930.png,1.0,1.0,1.0,1.0,1.0,1.0
1724560987.png,1.0,0.9577056778679026,0.9783959751405742,1.0,0.981460023174971,0.9906432748538012
1724561096.png,0.9920977011494253,0.984516817939135,0.9882927221143228,1.0,0.9866524292578751,0.9932813759742005
1724561150.png,0.964769647696477,0.719939879759519,0.8245648675200209,0.9802440441603719,0.8291583166332666,0.8983933249532179
1724561168.png,1.0,1.0,1.0,1.0,1.0,1.0
1724561186.png,1.0,1.0,1.0,1.0,1.0,1.0
1724561223.png,1.0,1.0,1.0,1.0,1.0,1.0
1724561257.png,1.0,0.9627586206896551,0.9810260014054812,1.0,1.0,1.0
1724562614.png,1.0,1.0,1.0,1.0,1.0,1.0
1724562727.png,0.9007496251874063,0.9524253731343284,0.9258670105593343,0.9431508920471726,0.9751243781094527,0.9588711707634984
1724562922.png,0.99140625,0.99140625,0.99140625,1.0,1.0,1.0
1724562943.png,1.0,1.0,1.0,1.0,1.0,1.0
1724563018.png,1.0,0.9960346070656092,0.9980133646378906,1.0,1.0,1.0
1724563056.png,1.0,1.0,1.0,1.0,1.0,1.0
1724563184.png,0.9912600145666424,0.9864091559370529,0.9888286361199617,1.0,1.0,1.0
1724563225.png,0.9785111281657713,0.9810030395136778,0.9797554993596865,0.9877300613496932,0.9855623100303952,0.9866449950033902
1724675423.png,1.0,0.974025974025974,0.9868421052631579,1.0,0.9979494190020506,0.9989736572015053
1724675460.png,1.0,1.0,1.0,1.0,1.0,1.0
1724675496.png,1.0,1.0,1.0,1.0,1.0,1.0
1724675583.png,1.0,0.9893867924528302,0.9946650859513931,1.0,1.0,1.0
1724675619.png,1.0,1.0,1.0,1.0,1.0,1.0
1724679814.png,0.9923167848699763,0.8467261904761905,0.9137585388295563,1.0,0.9677579365079365,0.9836148222838417
1724679836.png,0.9402298850574713,0.9524361948955916,0.9462936790978633,0.8785960874568469,0.8857308584686775,0.8821490467937607
1724679902.png,0.9700325732899023,0.8064343163538874,0.8807004055548728,0.9465558194774347,0.853083109919571,0.8973919923624225
1724680255.png,1.0,0.9951236502960641,0.9975558659217877,0.9968782518210197,1.0,0.9984366857738405
1724680274.png,0.974304068522484,0.9513457556935818,0.9626880533392886,1.0,1.0,1.0
1724683329.png,1.0,1.0,1.0,1.0,1.0,1.0
1724683366.png,1.0,1.0,1.0,1.0,1.0,1.0
1724683687.png,1.0,1.0,1.0,1.0,1.0,1.0
1724683745.png,1.0,1.0,1.0,1.0,1.0,1.0
1724683801.png,1.0,1.0,1.0,1.0,1.0,1.0
1724684300.png,1.0,0.9615653389238294,0.9804061275382971,1.0,0.9790356394129979,0.989406779661017
1724685217.png,1.0,1.0,1.0,1.0,1.0,1.0
1724685289.png,0.9760479041916168,0.9771048744460856,0.9765761033232724,1.0,1.0,1.0
1724685331.png,0.993993993993994,0.9940298507462687,0.9940119220467684,0.9977578475336323,0.9977611940298508,0.9977595207789354
1724685403.png,1.0,1.0,1.0,1.0,1.0,1.0
1724685515.png,0.9986181483187471,0.9744718309859155,0.9863972405261248,1.0,0.9788732394366197,0.9893238434163701
1724685598.png,1.0,1.0,1.0,1.0,1.0,1.0
1724685614.png,0.9992603550295858,1.0,0.9996300406955235,1.0,1.0,1.0
1724685696.png,1.0,1.0,1.0,1.0,1.0,1.0
1724685711.png,1.0,1.0,1.0,1.0,1.0,1.0
1724685811.png,1.0,1.0,1.0,1.0,1.0,1.0
1724685871.png,1.0,0.9992559523809523,0.9996278377372534,1.0,1.0,1.0
1724685956.png,1.0,1.0,1.0,1.0,1.0,1.0
1724685970.png,1.0,1.0,1.0,1.0,1.0,1.0
1724686026.png,0.9198137609932747,0.8887240356083086,0.9040016738539681,0.8430182133564614,0.9371909000989119,0.8876136990915638
1724686040.png,1.0,1.0,1.0,1.0,1.0,1.0
1724686195.png,1.0,1.0,1.0,1.0,1.0,1.0
1724686222.png,1.0,1.0,1.0,1.0,1.0,1.0
1724686239.png,1.0,1.0,1.0,1.0,1.0,1.0
1724686266.png,1.0,1.0,1.0,1.0,1.0,1.0
1724686307.png,1.0,1.0,1.0,1.0,1.0,1.0
1724686338.png,1.0,1.0,1.0,1.0,1.0,1.0
firehydrant_0013.png,0.6207029741212824,0.4775379229871645,0.5397890569077282,0.8505564387917329,0.4839556592765461,0.616902016374682
firehydrant_0032.png,0.7570487483530962,0.8795609611391279,0.813719386935834,0.9953488372093023,0.5965588846039751,0.7460032814478588
firehydrant_0035.png,0.9622205088666153,0.6474108769190736,0.7740306618471893,0.9884737678855325,0.6513140775435857,0.7852319214354456
firehydrant_0037.png,0.8701478743068392,0.5535044707239688,0.6766128546774823,0.9131665880132138,0.567637727141621,0.7000895408213214
others_0001.png,0.9976558837318331,0.6691380908248378,0.8010222781349368,0.9995346672871103,0.6746987951807228,0.8056042969848776
pole_0004.png,0.9778067885117493,0.5546187683284457,0.707779890888537,1.0,0.5586510263929618,0.7168391345249294
pole_0016.png,0.9791921664626683,0.5773014757554462,0.726362212365344,0.9505428226779252,0.5695713281799016,0.7123174765513709
pole_0041.png,0.8829613500272183,0.5630779392338177,0.6876383803520383,0.9718804920913884,0.571003963011889,0.7193638003449592
pole_0049.png,0.9151689432063264,0.4929091605979302,0.6407246222810862,0.9977238239757208,0.5051743963204293,0.6707367453960065
pole_0053.png,0.9915848527349228,0.5268857356235997,0.688129119617961,1.0,0.5272591486183719,0.6904645476772616
pole_0054.png,0.9513477975016437,0.5435356200527705,0.6918150391243753,0.9986149584487535,0.5457972107048624,0.7058235745295645
pole_0065.png,0.9495073891625616,0.5686346863468634,0.7112942130127141,0.9987562189054726,0.5904059040590406,0.742116313793671
pole_0118.png,0.38365194462755436,0.265947888589398,0.3141362402192564,0.5767366720516963,0.3252470799640611,0.41593192354916736
pole_0178.png,0.848260547742413,0.6387978142076502,0.7287770240111585,0.968895800933126,0.7021857923497268,0.8142569081214132
scene01_0012.png,0.9675392670157068,0.9670781893004116,0.9673086732136931,0.9941860465116279,0.9758230452674898,0.9849189625752229
scene01_0025.png,0.9987437185929648,0.9817109144542773,0.9901540716201565,1.0,0.9823008849557522,0.9910714285714286
scene01_0037.png,0.9777097902097902,0.8577600531738119,0.9138155057812468,0.9555970149253732,0.9471585244267199,0.9513590578340828
scene01_0048.png,0.9911392405063291,0.9476605868358445,0.9689123972966942,0.9991624790619765,0.9651070578905631,0.9818395514275542
scene01_0050.png,0.9970311726867888,0.9817570811329813,0.9893351772288507,0.9985148514851485,0.9875180028804609,0.9929859818961195
scene02_0019.png,0.9816824966078698,0.9658119658119658,0.9736825651087802,0.9837177747625508,0.965154503616042,0.9743477303593588
scene02_0022.png,0.9890038809831824,0.8856004553215708,0.9344502947646213,0.9714285714285714,0.8679567444507683,0.9167823327115362
scene02_0041.png,0.9470524017467249,0.8460057747834456,0.8936818798046172,0.9699453551912568,0.8691049085659288,0.9167604451606722
