k,boundary_iou,boundary_precision,boundary_recall,boundary_f1
1,0.7696255884091109,0.8995665121288869,0.8323492622824153,0.8620614556876791
2,0.8126085300678624,0.9266124469646547,0.8609485575883811,0.8902360057464538
3,0.8369395323787543,0.941347060431662,0.876678465878083,0.9056470790572222
